name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d10_p2_v1.2,N22-V型反转,2,16,9,7,56.25,1.0798140483328666,1.9033674963396807,9.090909090909083,-3.61794500723589,3.2916395181306046,-1.7639615556927963,1.8660494654815833
N22_d12_p2_v1.2,N22-V型反转,2,59,31,28,52.54237288135594,0.9189619536789364,0.7122507122507171,16.613076098606648,-12.384937238493709,4.624094354003439,-3.1831489181089063,1.4526792408916238
N22_d12_p2_v1.3,N22-V型反转,2,45,23,22,51.11111111111111,0.8388186550076666,0.29999999999998916,16.613076098606648,-12.384937238493709,4.58104054436007,-3.0735042293153003,1.4904943031038582
N22_d12_p2_v1.5,N22-V型反转,2,39,22,17,56.41025641025641,0.8411102631697509,1.1844331641285955,16.613076098606648,-12.384937238493709,4.153747774490914,-3.44583239853999,1.2054410354522378
N22_d12_p2_v1.8,N22-V型反转,2,26,16,10,61.53846153846154,0.9191078766354833,1.2566457225712702,16.613076098606648,-12.384937238493709,3.743380924646018,-3.599729000181373,1.0399063164080982
N22_d12_p2_v2.0,N22-V型反转,2,23,14,9,60.86956521739131,1.0097338471000932,1.2566457225712702,16.613076098606648,-12.384937238493709,4.153933600292314,-3.8812435467544737,1.0702584236863635
N22_d12_p3_v1.2,N22-V型反转,2,42,23,19,54.761904761904766,1.1415181893114803,1.1844331641285955,16.613076098606648,-12.384937238493709,4.574366915667444,-3.0140355320667913,1.5176884502521768
N22_d12_p3_v1.3,N22-V型反转,2,33,17,16,51.515151515151516,0.7461532089173555,0.29999999999998916,16.613076098606648,-12.384937238493709,4.232848646606566,-2.958460693627431,1.4307604815315567
N22_d12_p3_v1.5,N22-V型反转,2,29,16,13,55.172413793103445,0.515654918506723,0.7122507122507171,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.309457913395014,1.094910160289559
N22_d12_p3_v1.8,N22-V型反转,2,23,13,10,56.52173913043478,0.27092776363764154,0.7122507122507171,16.613076098606648,-12.384937238493709,3.2483560434984216,-3.599729000181373,0.9023890529911425
N22_d12_p3_v2.0,N22-V型反转,2,20,11,9,55.00000000000001,0.2779206127222666,1.1844331641285955,16.613076098606648,-12.384937238493709,3.680873106839599,-3.8812435467544737,0.9483746800474745
N22_d12_p4_v1.2,N22-V型反转,2,38,23,15,60.526315789473685,1.4024790232134312,1.4390243902439037,16.613076098606648,-12.384937238493709,4.574366915667444,-3.461082411882722,1.3216579009972576
N22_d12_p4_v1.3,N22-V型反转,2,30,17,13,56.666666666666664,0.9601125937866589,1.1844331641285955,16.613076098606648,-12.384937238493709,4.232848646606566,-3.319619167593221,1.2751006765861796
N22_d12_p4_v1.5,N22-V型反转,2,27,16,11,59.25925925925925,0.6833352807939796,1.1844331641285955,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.5933539026720633,1.0084058494022423
N22_d12_p4_v1.8,N22-V型反转,2,22,13,9,59.09090909090909,0.37034119219711015,1.1844331641285955,16.613076098606648,-12.384937238493709,3.2483560434984216,-3.7867913707936744,0.8578122546047732
N22_d12_p4_v2.0,N22-V型反转,2,19,11,8,57.89473684210527,0.39339894311136836,1.1844331641285955,16.613076098606648,-12.384937238493709,3.680873106839599,-4.126878032014949,0.8919267975173019
N22_d12_p5_v1.2,N22-V型反转,2,34,19,15,55.88235294117647,0.8992978710406837,1.1844331641285955,16.613076098606648,-12.384937238493709,4.341703357559162,-3.461082411882722,1.2544351277661168
N22_d12_p5_v1.3,N22-V型反转,2,29,16,13,55.172413793103445,0.51109987352132,0.7122507122507171,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.319619167593221,1.0915586732962579
N22_d12_p5_v1.5,N22-V型反转,2,27,16,11,59.25925925925925,0.6833352807939796,1.1844331641285955,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.5933539026720633,1.0084058494022423
N22_d12_p5_v1.8,N22-V型反转,2,22,13,9,59.09090909090909,0.37034119219711015,1.1844331641285955,16.613076098606648,-12.384937238493709,3.2483560434984216,-3.7867913707936744,0.8578122546047732
N22_d12_p5_v2.0,N22-V型反转,2,19,11,8,57.89473684210527,0.39339894311136836,1.1844331641285955,16.613076098606648,-12.384937238493709,3.680873106839599,-4.126878032014949,0.8919267975173019
N22_d12_p6_v1.2,N22-V型反转,2,34,19,15,55.88235294117647,0.8992978710406837,1.1844331641285955,16.613076098606648,-12.384937238493709,4.341703357559162,-3.461082411882722,1.2544351277661168
N22_d12_p6_v1.3,N22-V型反转,2,29,16,13,55.172413793103445,0.51109987352132,0.7122507122507171,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.319619167593221,1.0915586732962579
N22_d12_p6_v1.5,N22-V型反转,2,27,16,11,59.25925925925925,0.6833352807939796,1.1844331641285955,16.613076098606648,-12.384937238493709,3.6235590944268843,-3.5933539026720633,1.0084058494022423
N22_d12_p6_v1.8,N22-V型反转,2,22,13,9,59.09090909090909,0.37034119219711015,1.1844331641285955,16.613076098606648,-12.384937238493709,3.2483560434984216,-3.7867913707936744,0.8578122546047732
N22_d12_p6_v2.0,N22-V型反转,2,19,11,8,57.89473684210527,0.39339894311136836,1.1844331641285955,16.613076098606648,-12.384937238493709,3.680873106839599,-4.126878032014949,0.8919267975173019
N22_d15_p2_v1.2,N22-V型反转,2,140,77,63,55.00000000000001,0.5433685905166236,0.7122507122507171,16.613076098606648,-12.384937238493709,3.80685932233854,-3.445342303932386,1.1049292019528891
N22_d15_p2_v1.3,N22-V型反转,2,122,67,55,54.91803278688525,0.48362760110413766,0.6964285714285756,16.613076098606648,-12.384937238493709,3.6058322252209174,-3.3197853046381205,1.086164283028531
N22_d15_p2_v1.5,N22-V型反转,2,103,58,45,56.310679611650485,0.518715589383432,0.779678068410461,16.613076098606648,-12.384937238493709,3.7298054230453928,-3.62002241844754,1.0303266090393257
N22_d15_p2_v1.8,N22-V型反转,2,70,41,29,58.57142857142858,0.816537136108828,1.2566457225712702,16.613076098606648,-12.384937238493709,3.758624502866872,-3.342965692755991,1.1243383415545032
N22_d15_p2_v2.0,N22-V型反转,2,55,31,24,56.36363636363636,0.6538505037099985,0.779678068410461,16.613076098606648,-12.384937238493709,3.9646202261788925,-3.6225603878123214,1.094424882333885
N22_d15_p3_v1.2,N22-V型反转,2,110,63,47,57.27272727272727,0.6789866665625595,0.7553366174055665,16.613076098606648,-12.384937238493709,3.7690335647026036,-3.4629910905187775,1.0883751838177496
N22_d15_p3_v1.3,N22-V型反转,2,98,55,43,56.12244897959183,0.468356233136398,0.7122507122507171,16.613076098606648,-12.384937238493709,3.4662306587596974,-3.366134311265496,1.0297362904264418
N22_d15_p3_v1.5,N22-V型反转,2,83,47,36,56.62650602409639,0.4193426781589943,1.0147601476014678,16.613076098606648,-12.384937238493709,3.5678368933256808,-3.691191436086402,0.9665813749038418
N22_d15_p3_v1.8,N22-V型反转,2,63,37,26,58.730158730158735,0.788827199853487,1.2566457225712702,16.613076098606648,-12.384937238493709,3.6664448735209314,-3.306244104980953,1.1089456062839782
N22_d15_p3_v2.0,N22-V型反转,2,49,27,22,55.10204081632652,0.5731352061333662,0.7553366174055665,16.613076098606648,-12.384937238493709,3.868817878306607,-3.471566255170157,1.114430085424649
N22_d15_p4_v1.2,N22-V型反转,2,95,55,40,57.89473684210527,0.689857572187069,1.2566457225712702,16.613076098606648,-12.384937238493709,3.8605474551083794,-3.669841016829732,1.0519658583039635
N22_d15_p4_v1.3,N22-V型反转,2,85,48,37,56.470588235294116,0.4693519022322077,1.0147601476014678,16.613076098606648,-12.384937238493709,3.538372156347124,-3.512079778781737,1.0074862700227463
N22_d15_p4_v1.5,N22-V型反转,2,76,45,31,59.210526315789465,0.4409418369169991,1.2566457225712702,16.613076098606648,-12.384937238493709,3.3840424379976644,-3.8313009711033215,0.8832619685900434
N22_d15_p4_v1.8,N22-V型反转,2,58,36,22,62.06896551724138,0.873971058054204,1.4390243902439037,16.613076098606648,-12.384937238493709,3.447777743939248,-3.3377126097576864,1.0329762166640082
