name,cat,hold_days,signals,wins,losses,wr,avg,avg_w,avg_l,pl
N22_d10_p2_v1.2,N22-V型反转,2,16,9,7,56.25,1.0798140483328666,3.2916395181306046,-1.7639615556927963,1.8660494654815833
N22_d12_p2_v1.2,N22-V型反转,2,58,31,27,53.44827586206896,0.9968941948327285,4.624094354003439,-3.1676689508817923,1.4597782867165516
N22_d12_p2_v1.3,N22-V型反转,2,44,23,21,52.27272727272727,0.9397260797405906,4.58104054436007,-3.0483802386521717,1.5027785859107778
N22_d12_p2_v1.5,N22-V型反转,2,38,22,16,57.89473684210527,0.9580107446542442,4.153747774490914,-3.4361276713711777,1.2088455877523818
N22_d12_p2_v1.8,N22-V型反转,2,25,16,9,64.0,1.0999165130305426,3.743380924646018,-3.599575774285859,1.0399505828957551
N22_d12_p2_v2.0,N22-V型反转,2,22,14,8,63.63636363636363,1.219317568933779,4.153933600292314,-3.916260485943658,1.0606887910550686
N22_d12_p3_v1.2,N22-V型反转,2,41,23,18,56.09756097560976,1.2571919996176384,4.574366915667444,-2.9814203931126695,1.5342911473452767
N22_d12_p3_v1.3,N22-V型反转,2,32,17,15,53.125,0.8820051227348038,4.232848646606566,-2.9156175376531936,1.4517846020413308
N22_d12_p3_v1.5,N22-V型反转,2,28,16,12,57.14285714285714,0.6626821667834273,3.6235590944268843,-3.2851537367411825,1.1030105087323536
N22_d12_p3_v1.8,N22-V型反转,2,22,13,9,59.09090909090909,0.4469293907684889,3.2483560434984216,-3.599575774285859,0.9024274656762523
N22_d12_p3_v2.0,N22-V型反转,2,19,11,8,57.89473684210527,0.4820800151413858,3.680873106839599,-3.916260485943658,0.9398948614503766
N22_d12_p4_v1.2,N22-V型反转,2,37,23,14,62.16216216216216,1.5377111058203075,4.574366915667444,-3.451080581785703,1.3254882948286635
N22_d12_p4_v1.3,N22-V型反转,2,29,17,12,58.620689655172406,1.117396063684164,4.232848646606566,-3.2961617621225723,1.2841750351113872
N22_d12_p4_v1.5,N22-V型反转,2,26,16,10,61.53846153846154,0.8481215621030171,3.6235590944268843,-3.5925784896151702,1.008623501170891
N22_d12_p4_v1.8,N22-V型反转,2,21,13,8,61.904761904761905,0.5594578219798771,3.2483560434984216,-3.810001787987759,0.8525864879486136
N22_d12_p4_v2.0,N22-V型反转,2,18,11,7,61.111111111111114,0.6153159973531663,3.680873106839599,-4.201988031839799,0.8759837198365281
N22_d12_p5_v1.2,N22-V型反转,2,33,19,14,57.57575757575758,1.035673807534068,4.341703357559162,-3.451080581785703,1.2580706983412775
N22_d12_p5_v1.3,N22-V型反转,2,28,16,12,57.14285714285714,0.6579644416199741,3.6235590944268843,-3.2961617621225723,1.0993268401043168
N22_d12_p5_v1.5,N22-V型反转,2,26,16,10,61.53846153846154,0.8481215621030171,3.6235590944268843,-3.5925784896151702,1.008623501170891
