name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d12_p4_v1.2,N22-V型反转,3,38,24,14,63.1578947368421,2.732181413914247,3.2148900169204575,25.370370370370352,-12.468619246861913,6.440909829125059,-3.6256387264471455,1.7764896932896201
N22_d10_p2_v1.2,N22-V型反转,3,16,10,6,62.5,0.7188630133524463,1.317715959004384,9.090909090909083,-8.370837083708372,4.036121957966367,-4.809901894337423,0.8391277091780173
N22_d15_p4_v1.8,N22-V型反转,3,58,36,22,62.06896551724138,2.0556493679178316,1.4245014245014342,15.282623866015355,-12.468619246861913,5.5721571951665725,-3.698636167580109,1.506543748208747
N22_d12_p2_v1.8,N22-V型反转,3,26,16,10,61.53846153846154,2.266459950923079,3.2148900169204575,14.69740634005763,-12.468619246861913,5.792726665516733,-3.375566792426767,1.7160752613495818
N22_d15_p6_v2.5,N22-V型反转,3,31,19,12,61.29032258064516,0.997166842874364,1.0999999999999899,15.282623866015355,-12.468619246861913,4.252669151167485,-4.157378478589745,1.0229208557913312
N22_d12_p2_v2.0,N22-V型反转,3,23,14,9,60.86956521739131,1.7870947149658414,3.065693430656924,14.69740634005763,-12.468619246861913,5.316600509719473,-3.703247632428697,1.4356589235791106
N22_d15_p5_v1.8,N22-V型反转,3,56,34,22,60.71428571428571,1.9707128074749687,1.4245014245014342,15.282623866015355,-12.468619246861913,5.639115085451785,-3.698636167580109,1.5246471482868953
N22_d15_p4_v2.5,N22-V型反转,3,33,20,13,60.60606060606061,0.9634974335576865,1.0999999999999899,15.282623866015355,-12.468619246861913,4.476916881727924,-4.441763255934986,1.0079143402670023
N22_d15_p5_v2.5,N22-V型反转,3,33,20,13,60.60606060606061,0.9634974335576865,1.0999999999999899,15.282623866015355,-12.468619246861913,4.476916881727924,-4.441763255934986,1.0079143402670023
N22_d15_p6_v1.8,N22-V型反转,3,53,32,21,60.37735849056604,1.8496071912425154,1.2658227848101333,15.282623866015355,-12.468619246861913,5.360774882454308,-3.500743576318309,1.5313246359198271
N22_d12_p4_v1.3,N22-V型反转,3,30,18,12,60.0,2.6128285503838526,3.2148900169204575,25.370370370370352,-12.468619246861913,6.7913535510914755,-3.6549589506775804,1.8581203353412354
N22_d15_p3_v2.5,N22-V型反转,3,35,21,14,60.0,1.152365176849738,1.0999999999999899,15.282623866015355,-12.468619246861913,4.818000654662798,-4.346088039869852,1.1085833076697356
N22_d15_p4_v1.2,N22-V型反转,3,95,57,38,60.0,1.7410034218518975,1.1152416356877248,25.370370370370352,-12.468619246861913,5.4794577548820955,-3.866678077693399,1.4170969614700308
N22_d15_p5_v1.5,N22-V型反转,3,69,41,28,59.42028985507246,1.8185798747746713,1.2658227848101333,15.282623866015355,-12.468619246861913,5.536602235569434,-3.6256671535319454,1.5270575044860228
